transmit_tx,transmit_block,sprayed_in_block,sprayed_in_block_count,exec_b0_count,exec_b1_count,exec_b2_count,has_gatepass_within_2blocks,gatepass_block,gatepass_tx,gatepass_fee_eth,total_exec_b0_b2
0x6b1a12a98db07d83e7db376be0f9caaadfb2a8e154e7503045721ec4d29ee29a,38835881,1,1,1,0,1,0,,,,2
0x8ab52cfe718f49324d8bd95db3814911a3ad5fce3f1177598b9420f555146f4f,38836272,0,0,0,1,0,0,,,,1
0xba0dffca2951eb889679aa40e12e6aec3c82e2ffa826ab2948840e0935f85759,38836467,0,0,0,1,0,1,38836468,0xc1b7509de420d0c30d679902510b647eac2659b81144036636f3cfccd3b9c620,0.000001241501219049,1
0x4338a626a57846efbed5a351ad52c624b1f50dab4790fb3e5c97bc49f7f3d44f,38837082,0,0,0,1,0,0,,,,1
0xf0d75852298e2b66e470858a808e17ce5b2844cecc34148be29f286e308d3aa6,38837698,1,1,1,0,0,0,,,,1
0xddf325fbdcb5c2fc895529456ea8e66500ab76898f2b7fe515313d2f6dac9f1e,38838313,0,0,0,1,0,1,38838314,0xfac560cfe7dc6cb04563a70d6bb1542719f5b890787f4bba9cf81b7dd40c38c8,0.000001241927856536,1
0xcc6e1a0b42aff11444c6fa2ed2a0d3da4b5183b92564a245a55e05db1d8d57e9,38889895,0,0,0,1,0,1,38889896,0x59f043514f4a0f8c1331306678ecc1a4deff65e12901b4b80404cfe21bb38221,0.000001283307757552,1
0x95a8654a56c881926468ecb65c87a605fe9bf6ecba3bce6eaa63761a34f92755,38889970,0,0,0,1,0,0,,,,1
0x849bb16f8e46d3e7971c8fc92c1020fa78772775b472f41ad162572adcc3b0cf,38890105,1,1,1,0,0,0,,,,1
0x57dd8f625fcc55aeed365f04f180ad69fd1d8d761f3e48ffe68dfda664f7221e,38890330,1,1,1,0,1,1,38890332,0x56ff2dd0ac906e5ee3e63e7cad53a55fd08dbfc4a4937726395e0645257089bc,0.00000126987164195,2
0xc8a441f5369233d0f83df5e62156c24b2c8d82463bb708c7e26d1824851c096c,38890871,1,1,1,0,0,0,,,,1
0xf8821d289dcfabb31e29cc58e3348518e29ee2f5757a7fa1a193a05456588ac5,38891081,0,0,0,1,0,0,,,,1
